match_id,over,batter,batsman_runs,season
335987,13,RA Jadeja,4,2007/08
335987,14,SR Watson,4,2007/08
335987,14,RA Jadeja,4,2007/08
335987,15,RA Jadeja,4,2007/08
335987,15,RA Jadeja,4,2007/08
335987,18,SR Watson,4,2007/08
335988,2,Y Venugopal Rao,4,2007/08
335988,4,Y Venugopal Rao,4,2007/08
335988,6,A Symonds,4,2007/08
335988,6,A Symonds,4,2007/08
335988,8,RG Sharma,4,2007/08
335988,10,RG Sharma,4,2007/08
335988,10,RG Sharma,4,2007/08
335988,17,RG Sharma,4,2007/08
335988,17,RG Sharma,4,2007/08
335988,17,RG Sharma,4,2007/08
335988,18,AS Yadav,4,2007/08
335988,18,AS Yadav,4,2007/08
335988,1,V Sehwag,4,2007/08
335988,1,V Sehwag,4,2007/08
335988,1,G Gambhir,4,2007/08
335988,2,V Sehwag,4,2007/08
335988,2,G Gambhir,4,2007/08
335988,4,V Sehwag,4,2007/08
335988,5,S Dhawan,4,2007/08
335988,5,S Dhawan,4,2007/08
335988,6,V Sehwag,4,2007/08
335988,8,V Sehwag,4,2007/08
335988,8,V Sehwag,4,2007/08
335988,10,S Dhawan,4,2007/08
335988,12,V Sehwag,4,2007/08
335988,12,V Sehwag,4,2007/08
335988,12,V Sehwag,4,2007/08
335989,0,PA Patel,4,2007/08
335989,1,PA Patel,4,2007/08
335989,1,PA Patel,4,2007/08
335989,2,ML Hayden,4,2007/08
335989,2,ML Hayden,4,2007/08
335989,2,ML Hayden,0,2007/08
335989,4,MEK Hussey,4,2007/08
335989,5,ML Hayden,4,2007/08
335989,5,ML Hayden,4,2007/08
335989,8,ML Hayden,4,2007/08
335989,10,ML Hayden,4,2007/08
335989,11,SK Raina,4,2007/08
335989,11,SK Raina,4,2007/08
335989,12,ML Hayden,4,2007/08
335989,12,SK Raina,4,2007/08
335989,15,MS Dhoni,4,2007/08
335989,15,MS Dhoni,4,2007/08
335989,15,ML Hayden,4,2007/08
335989,16,ML Hayden,4,2007/08
335989,17,MS Dhoni,4,2007/08
335989,17,ML Hayden,4,2007/08
335989,17,ML Hayden,4,2007/08
335989,18,MS Dhoni,4,2007/08
335989,19,JDP Oram,4,2007/08
335989,0,ST Jayasuriya,4,2007/08
335989,1,RV Uthappa,0,2007/08
335989,2,ST Jayasuriya,4,2007/08
335989,2,ST Jayasuriya,4,2007/08
335989,3,ST Jayasuriya,4,2007/08
335989,4,RV Uthappa,4,2007/08
