match_id,batting_team,bowling_team,over,batter,bowler,batsman_runs,total_runs,season
335986,Deccan Chargers,Kolkata Knight Riders,16,SB Bangar,DJ Hussey,6,6,2007/08
335986,Kolkata Knight Riders,Deccan Chargers,10,DJ Hussey,SB Bangar,6,6,2007/08
335986,Kolkata Knight Riders,Deccan Chargers,13,Mohammad Hafeez,A Symonds,6,6,2007/08
335986,Kolkata Knight Riders,Deccan Chargers,17,DJ Hussey,SB Styris,6,6,2007/08
335986,Kolkata Knight Riders,Deccan Chargers,18,DJ Hussey,PP Ojha,6,6,2007/08
335987,Kings XI Punjab,Rajasthan Royals,2,K Goel,MM Patel,6,6,2007/08
335987,Kings XI Punjab,Rajasthan Royals,4,K Goel,MM Patel,6,6,2007/08
335987,Kings XI Punjab,Rajasthan Royals,5,KC Sangakkara,SK Trivedi,6,6,2007/08
335987,Kings XI Punjab,Rajasthan Royals,13,Yuvraj Singh,D Salunkhe,6,6,2007/08
335987,Kings XI Punjab,Rajasthan Royals,15,Yuvraj Singh,YK Pathan,6,6,2007/08
335987,Kings XI Punjab,Rajasthan Royals,15,Yuvraj Singh,YK Pathan,6,6,2007/08
335987,Kings XI Punjab,Rajasthan Royals,16,IK Pathan,SK Warne,6,6,2007/08
335987,Rajasthan Royals,Kings XI Punjab,2,Kamran Akmal,B Lee,6,6,2007/08
335987,Rajasthan Royals,Kings XI Punjab,3,SR Watson,S Sreesanth,6,6,2007/08
335987,Rajasthan Royals,Kings XI Punjab,6,SR Watson,JR Hopes,6,6,2007/08
335987,Rajasthan Royals,Kings XI Punjab,8,SR Watson,JR Hopes,6,6,2007/08
335987,Rajasthan Royals,Kings XI Punjab,10,SR Watson,PP Chawla,6,6,2007/08
335987,Rajasthan Royals,Kings XI Punjab,12,SR Watson,WA Mota,6,6,2007/08
335987,Rajasthan Royals,Kings XI Punjab,14,RA Jadeja,PP Chawla,6,6,2007/08
335988,Deccan Chargers,Delhi Daredevils,1,AC Gilchrist,Mohammad Asif,6,6,2007/08
335988,Deccan Chargers,Delhi Daredevils,15,RG Sharma,Mohammad Asif,6,6,2007/08
335988,Deccan Chargers,Delhi Daredevils,16,RG Sharma,R Bhatia,6,6,2007/08
335988,Deccan Chargers,Delhi Daredevils,17,RG Sharma,MF Maharoof,6,6,2007/08
335988,Deccan Chargers,Delhi Daredevils,17,RG Sharma,MF Maharoof,6,6,2007/08
335988,Delhi Daredevils,Deccan Chargers,8,V Sehwag,SB Bangar,6,6,2007/08
335988,Delhi Daredevils,Deccan Chargers,8,V Sehwag,SB Bangar,6,6,2007/08
335988,Delhi Daredevils,Deccan Chargers,9,V Sehwag,Shahid Afridi,6,6,2007/08
335988,Delhi Daredevils,Deccan Chargers,12,V Sehwag,A Symonds,6,6,2007/08
335988,Delhi Daredevils,Deccan Chargers,12,V Sehwag,A Symonds,6,6,2007/08
335988,Delhi Daredevils,Deccan Chargers,12,V Sehwag,A Symonds,6,6,2007/08
335989,Chennai Super Kings,Mumbai Indians,2,ML Hayden,SM Pollock,6,6,2007/08
335989,Chennai Super Kings,Mumbai Indians,9,SK Raina,Harbhajan Singh,6,6,2007/08
335989,Chennai Super Kings,Mumbai Indians,10,SK Raina,DJ Bravo,6,6,2007/08
335989,Chennai Super Kings,Mumbai Indians,13,SK Raina,AM Nayar,6,6,2007/08
335989,Chennai Super Kings,Mumbai Indians,13,ML Hayden,AM Nayar,6,6,2007/08
335989,Chennai Super Kings,Mumbai Indians,19,MS Dhoni,MA Khote,6,6,2007/08
335989,Mumbai Indians,Chennai Super Kings,4,RV Uthappa,JDP Oram,6,6,2007/08
335989,Mumbai Indians,Chennai Super Kings,11,SM Pollock,P Amarnath,6,6,2007/08
335989,Mumbai Indians,Chennai Super Kings,12,DJ Bravo,M Muralitharan,6,6,2007/08
335989,Mumbai Indians,Chennai Super Kings,15,MA Khote,M Muralitharan,6,6,2007/08
335989,Mumbai Indians,Chennai Super Kings,16,Harbhajan Singh,P Amarnath,6,6,2007/08
335989,Mumbai Indians,Chennai Super Kings,16,AM Nayar,P Amarnath,6,6,2007/08
335989,Mumbai Indians,Chennai Super Kings,17,Harbhajan Singh,JDP Oram,6,6,2007/08
335989,Mumbai Indians,Chennai Super Kings,17,Harbhajan Singh,JDP Oram,6,6,2007/08
335990,Deccan Chargers,Rajasthan Royals,2,Shahid Afridi,YK Pathan,6,6,2007/08
335990,Deccan Chargers,Rajasthan Royals,7,A Symonds,SK Trivedi,6,6,2007/08
335990,Deccan Chargers,Rajasthan Royals,10,A Symonds,SK Warne,6,6,2007/08
335990,Deccan Chargers,Rajasthan Royals,11,A Symonds,D Salunkhe,6,6,2007/08
335990,Deccan Chargers,Rajasthan Royals,12,A Symonds,YK Pathan,6,6,2007/08
335990,Deccan Chargers,Rajasthan Royals,13,RG Sharma,Pankaj Singh,6,6,2007/08
335990,Deccan Chargers,Rajasthan Royals,14,A Symonds,SK Trivedi,6,6,2007/08
335990,Deccan Chargers,Rajasthan Royals,17,A Symonds,SK Warne,6,6,2007/08
335990,Deccan Chargers,Rajasthan Royals,17,A Symonds,SK Warne,6,6,2007/08
335990,Rajasthan Royals,Deccan Chargers,1,Kamran Akmal,RP Singh,6,6,2007/08
335990,Rajasthan Royals,Deccan Chargers,3,YK Pathan,RP Singh,6,6,2007/08
335990,Rajasthan Royals,Deccan Chargers,4,YK Pathan,WPUJC Vaas,6,6,2007/08
335990,Rajasthan Royals,Deccan Chargers,4,YK Pathan,WPUJC Vaas,6,6,2007/08
335990,Rajasthan Royals,Deccan Chargers,5,YK Pathan,PP Ojha,6,6,2007/08
335990,Rajasthan Royals,Deccan Chargers,6,YK Pathan,D Kalyankrishna,6,6,2007/08
335990,Rajasthan Royals,Deccan Chargers,7,YK Pathan,RP Singh,6,6,2007/08
335990,Rajasthan Royals,Deccan Chargers,8,GC Smith,Shahid Afridi,6,6,2007/08
335990,Rajasthan Royals,Deccan Chargers,14,M Kaif,A Symonds,6,6,2007/08
335990,Rajasthan Royals,Deccan Chargers,14,M Kaif,A Symonds,6,6,2007/08
335990,Rajasthan Royals,Deccan Chargers,14,M Kaif,A Symonds,6,6,2007/08
335990,Rajasthan Royals,Deccan Chargers,15,GC Smith,D Kalyankrishna,6,6,2007/08
335990,Rajasthan Royals,Deccan Chargers,19,SK Warne,A Symonds,6,6,2007/08
335990,Rajasthan Royals,Deccan Chargers,19,SK Warne,A Symonds,6,6,2007/08
335991,Kings XI Punjab,Mumbai Indians,5,KC Sangakkara,DS Kulkarni,6,6,2007/08
335991,Kings XI Punjab,Mumbai Indians,7,K Goel,DJ Bravo,6,6,2007/08
335991,Kings XI Punjab,Mumbai Indians,10,Yuvraj Singh,SM Pollock,6,6,2007/08
335991,Kings XI Punjab,Mumbai Indians,14,DPMD Jayawardene,MA Khote,6,6,2007/08
335991,Kings XI Punjab,Mumbai Indians,19,B Lee,DS Kulkarni,6,6,2007/08
335991,Mumbai Indians,Kings XI Punjab,1,L Ronchi,IK Pathan,6,6,2007/08
335991,Mumbai Indians,Kings XI Punjab,7,RV Uthappa,S Sreesanth,6,6,2007/08
335991,Mumbai Indians,Kings XI Punjab,11,SM Pollock,VRV Singh,6,6,2007/08
335991,Mumbai Indians,Kings XI Punjab,11,SS Tiwary,VRV Singh,6,6,2007/08
335992,Royal Challengers Bangalore,Rajasthan Royals,1,LRPL Taylor,Sohail Tanvir,6,6,2007/08
335992,Royal Challengers Bangalore,Rajasthan Royals,1,LRPL Taylor,Sohail Tanvir,6,6,2007/08
335992,Royal Challengers Bangalore,Rajasthan Royals,5,LRPL Taylor,MM Patel,6,6,2007/08
335992,Royal Challengers Bangalore,Rajasthan Royals,8,V Kohli,SK Trivedi,6,6,2007/08
335992,Royal Challengers Bangalore,Rajasthan Royals,12,P Kumar,YK Pathan,6,6,2007/08
335992,Royal Challengers Bangalore,Rajasthan Royals,15,P Kumar,SK Warne,6,6,2007/08
335992,Royal Challengers Bangalore,Rajasthan Royals,15,P Kumar,SK Warne,6,6,2007/08
335992,Rajasthan Royals,Royal Challengers Bangalore,12,SR Watson,SB Joshi,6,6,2007/08
335992,Rajasthan Royals,Royal Challengers Bangalore,13,SR Watson,P Kumar,6,6,2007/08
335993,Kolkata Knight Riders,Chennai Super Kings,1,BB McCullum,MS Gony,6,6,2007/08
335993,Kolkata Knight Riders,Chennai Super Kings,2,BB McCullum,JDP Oram,6,6,2007/08
335993,Kolkata Knight Riders,Chennai Super Kings,5,WP Saha,MS Gony,6,6,2007/08
335993,Kolkata Knight Riders,Chennai Super Kings,16,LR Shukla,Joginder Sharma,6,6,2007/08
335993,Chennai Super Kings,Kolkata Knight Riders,6,ML Hayden,DJ Hussey,6,6,2007/08
335993,Chennai Super Kings,Kolkata Knight Riders,7,ML Hayden,Mohammad Hafeez,6,6,2007/08
335993,Chennai Super Kings,Kolkata Knight Riders,13,MS Dhoni,M Kartik,6,6,2007/08
335993,Chennai Super Kings,Kolkata Knight Riders,15,ML Hayden,I Sharma,6,6,2007/08
335993,Chennai Super Kings,Kolkata Knight Riders,16,MS Dhoni,M Kartik,6,6,2007/08
335994,Mumbai Indians,Deccan Chargers,13,SM Pollock,SB Bangar,6,6,2007/08
335994,Mumbai Indians,Deccan Chargers,14,AM Nayar,D Kalyankrishna,6,6,2007/08
335994,Mumbai Indians,Deccan Chargers,15,AM Nayar,Shahid Afridi,6,6,2007/08
335994,Mumbai Indians,Deccan Chargers,16,AM Nayar,DNT Zoysa,6,6,2007/08
335994,Mumbai Indians,Deccan Chargers,17,DJ Bravo,Shahid Afridi,6,6,2007/08
335994,Deccan Chargers,Mumbai Indians,4,AC Gilchrist,ST Jayasuriya,6,6,2007/08
335994,Deccan Chargers,Mumbai Indians,5,AC Gilchrist,SD Chitnis,6,6,2007/08
335994,Deccan Chargers,Mumbai Indians,6,AC Gilchrist,SM Pollock,6,6,2007/08
335994,Deccan Chargers,Mumbai Indians,6,AC Gilchrist,SM Pollock,6,6,2007/08
335994,Deccan Chargers,Mumbai Indians,6,AC Gilchrist,SM Pollock,6,6,2007/08
335994,Deccan Chargers,Mumbai Indians,7,AC Gilchrist,DJ Bravo,6,6,2007/08
335994,Deccan Chargers,Mumbai Indians,9,AC Gilchrist,AM Nayar,6,6,2007/08
335994,Deccan Chargers,Mumbai Indians,9,AC Gilchrist,AM Nayar,6,6,2007/08
335994,Deccan Chargers,Mumbai Indians,9,AC Gilchrist,AM Nayar,6,6,2007/08
335994,Deccan Chargers,Mumbai Indians,10,AC Gilchrist,DJ Bravo,6,6,2007/08
335994,Deccan Chargers,Mumbai Indians,10,VVS Laxman,DJ Bravo,6,6,2007/08
335995,Delhi Daredevils,Kings XI Punjab,10,KD Karthik,PP Chawla,6,6,2007/08
335995,Delhi Daredevils,Kings XI Punjab,15,R Bhatia,S Sreesanth,6,6,2007/08
335995,Kings XI Punjab,Delhi Daredevils,11,SM Katich,Shoaib Malik,6,6,2007/08
335995,Kings XI Punjab,Delhi Daredevils,12,Yuvraj Singh,MF Maharoof,6,6,2007/08
335995,Kings XI Punjab,Delhi Daredevils,15,Yuvraj Singh,GD McGrath,6,6,2007/08
335996,Chennai Super Kings,Royal Challengers Bangalore,6,PA Patel,P Kumar,6,6,2007/08
335996,Chennai Super Kings,Royal Challengers Bangalore,8,SK Raina,B Akhil,6,6,2007/08
335996,Chennai Super Kings,Royal Challengers Bangalore,11,SK Raina,P Kumar,6,6,2007/08
335996,Chennai Super Kings,Royal Challengers Bangalore,15,MEK Hussey,B Akhil,6,6,2007/08
335996,Chennai Super Kings,Royal Challengers Bangalore,15,MEK Hussey,B Akhil,6,6,2007/08
335996,Chennai Super Kings,Royal Challengers Bangalore,16,MS Dhoni,JH Kallis,6,6,2007/08
335996,Chennai Super Kings,Royal Challengers Bangalore,18,MS Dhoni,DW Steyn,6,6,2007/08
335996,Chennai Super Kings,Royal Challengers Bangalore,19,MS Dhoni,Z Khan,6,6,2007/08
335996,Royal Challengers Bangalore,Chennai Super Kings,4,LRPL Taylor,JDP Oram,6,6,2007/08
335996,Royal Challengers Bangalore,Chennai Super Kings,5,LRPL Taylor,MS Gony,6,6,2007/08
335996,Royal Challengers Bangalore,Chennai Super Kings,8,W Jaffer,JA Morkel,6,6,2007/08
335996,Royal Challengers Bangalore,Chennai Super Kings,9,W Jaffer,Joginder Sharma,6,6,2007/08
